Position Strand Score
185953 - 6.1509
186191 + 6.8212
186284 - 5.2536
186406 + 9.5551
186714 + 9.9642
187694 - 5.1628
187856 - 6.1865
187968 - 5.1628
187973 - 6.0957
188021 + 6.1865
188248 + 11.5027
188339 - 5.5454
188363 + 6.8212
188391 + 6.2858
188587 - 5.1363
188729 + 5.5454
189206 - 5.5719
190830 + 10.1107
191151 + 7.4929
191641 + 8.0432
191706 + 8.0167
191749 + 5.5454
192807 + 8.0432
192825 + 7.7249
192934 - 5.9810
193211 - 8.0167
193593 - 7.0838
194034 + 8.7687
194121 - 7.0838
194244 - 7.7249
194254 - 8.7687
194569 - 7.7249
194721 + 5.5719
194728 + 5.2536
194771 + 5.5719
195088 + 7.8358
195152 + 5.1363
195656 + 7.0838
196137 + 6.8212
196608 + 6.6747
196697 - 7.4929
196700 + 6.1509
197027 - 5.5454
197071 - 6.1509
197220 - 7.7249
197297 - 5.5454
197329 - 9.0314
197743 + 5.2827
197782 + 5.2827
197837 + 5.2827
197859 + 5.2827
197915 + 5.2827
197978 + 5.2827
198244 + 9.0314
198414 + 5.3093
199117 + 7.8358
199282 + 6.1865
199609 - 6.5048
200033 + 7.4929
200211 - 5.5719
200394 + 6.2974
200715 - 6.1509
200808 + 5.1363
201505 - 5.3529
202227 - 8.0167
203262 + 5.5719
203533 - 11.5027
203806 - 6.9139
204320 + 5.2536
204351 + 7.4929
204756 - 6.2974
205496 - 6.8212
206834 + 7.0838
206902 - 5.5454
207321 + 5.3093
207730 - 8.0167
207773 - 5.5454
208062 - 9.1778
208442 + 6.0692
208626 - 7.7249
208675 + 10.3734
208729 - 7.7249
208836 - 7.7249
208885 + 10.3734
208939 - 7.7249
209046 - 7.7249
209095 + 10.3734
209149 - 7.7249
209306 + 11.5027
209433 - 6.5048
209698 - 8.0432
209773 - 14.3831
209847 - 5.1628
209857 + 7.7249
209890 - 5.2536
210055 - 9.5551
210589 - 5.7773
210928 + 5.8883
210997 + 7.2568
211250 - 11.5027
211697 - 5.1628
212614 - 6.8212
212933 - 5.5454
213016 - 7.2568
213252 - 5.5454
213480 - 8.0167
213488 + 7.0838
213503 - 7.0838
213624 - 6.1509
213641 - 7.7249
213836 + 5.1363
213906 - 5.3093
214191 - 5.3093
214288 - 10.3071
214746 - 8.7687
214917 - 5.7773
214942 + 7.0838
215072 + 6.2974
215317 + 7.7249
215479 + 7.4929
215486 - 7.7249
215608 - 6.5048
215668 + 5.4792
215853 - 7.0838
215892 + 14.3831
216251 + 5.1628
216760 + 8.0167
216916 - 6.1865
217105 - 5.5719
217401 - 5.9810
217620 - 5.5454
217727 - 6.1509
218459 - 6.9139
218463 - 6.2974
218550 + 13.1875
218589 + 8.0432
218598 + 8.7687
218974 - 5.2827
219001 + 6.1865
219018 - 7.7249
219423 + 9.5551
219520 - 8.2333
219783 + 7.2568
219894 - 5.2536
220106 - 5.8883
220160 - 11.5027
220181 - 5.1363
220252 + 5.2536
220755 + 5.5454
221093 + 6.2974
221488 + 7.7249
221527 + 5.2827
221845 + 5.1628
222565 - 8.4524
223300 + 9.0314
223394 + 6.5293
223487 + 5.7773
223490 - 5.3093
223801 + 7.7249
223903 - 5.1628
224033 - 6.4783
224211 - 5.1628
224451 - 5.2536
225391 + 11.9118
225583 + 5.3529
225596 - 8.0432
226221 + 6.1865
226458 - 11.5027
226560 + 7.7249
226836 + 7.7249
227437 + 5.8883
227709 + 7.7249
227862 - 5.2827
227958 - 6.1865
228178 - 5.5454
228708 + 8.0167
229249 - 9.9642
230115 + 6.6949
230648 - 6.1865
230775 + 5.7773
231085 + 6.4121
231101 - 7.7249
231303 - 9.1778
231319 + 5.7773
231411 - 6.1865
231429 - 11.6491
231434 - 5.5719
231915 + 5.2827
232403 + 5.5454
233092 - 5.1628
233127 + 5.2536
233580 - 5.3093
233654 + 5.1628
233710 - 5.7773
234289 - 8.0432
234407 + 6.1865
234802 + 8.0432
235189 + 8.7687
235995 + 5.2536
236108 + 5.8883
236780 - 10.3071
236972 + 10.7162
237131 + 9.0314
237326 - 8.4258
237413 + 5.5719
237704 + 7.7249
237820 + 5.8883
237843 + 5.2536
238717 - 6.2974
239013 - 5.9810
239216 - 5.1628
239744 + 6.1865
239769 + 5.1628
239863 + 5.9810
239966 + 7.2303
240063 + 5.1363
241301 + 5.5719
241327 - 5.3093
241830 - 8.0432
242153 + 6.4783
243024 + 7.0838
243068 - 10.1107
243640 + 5.1363
243755 + 7.0838
244027 - 5.5719
244214 + 5.5454
244450 + 5.5454
244508 + 5.8883
244910 + 5.1363
245069 + 5.5454
245226 + 9.0314
246392 - 6.8212
246851 - 5.2827
247183 - 5.1363
247270 - 5.1363
247389 - 5.5719
248502 + 9.0314
248745 + 6.1865
249119 + 8.4258
249462 + 8.7687
249466 + 9.9642
250170 + 5.5454
250958 - 6.8212
251068 - 9.3587
251615 + 8.0167
252085 - 5.1363
252284 - 7.2303
252699 - 9.0314
252793 - 5.1363
253023 + 9.5551
253260 + 5.5719
253324 + 7.4929
253575 - 7.0838
254043 - 5.1363
254243 - 6.8212
254291 - 6.1509
255114 + 7.0838
255129 - 5.1363
255352 + 6.4783
255646 + 7.0838
256136 - 6.2974
256202 - 5.2827
256475 - 5.5719
256583 - 7.4929
256629 + 5.3529
256868 - 10.1107
257137 - 5.1363
257528 + 5.1628
258106 + 8.1632
258191 - 8.4258
258376 - 6.5048
258646 + 7.0838
258702 + 11.6491
258716 + 8.4258
259262 + 8.0167
259849 + 6.8212
259982 + 8.4258
260092 + 5.7620
260109 - 6.1509
260162 - 6.8212
260877 - 5.5719
260886 + 9.3587
261075 + 5.1363
261999 - 7.0838
262038 + 5.1363
262093 - 9.1778
262267 + 5.1363
262551 - 7.4929
262765 - 5.5454
264242 - 5.5454
264384 - 5.5454
264566 + 5.1363
264749 - 10.1107
264764 - 6.6747
264796 + 5.2827
265954 + 5.5454
265971 + 9.9642
266222 - 9.9642
266525 + 8.0167
266733 + 5.8883
266801 - 9.3587
267182 + 6.2974
267301 - 8.4258
267336 - 6.4783
267651 + 6.1865
268285 - 8.0167
268427 + 6.1509
268509 + 8.4258
268604 + 6.0957
268607 - 7.2303
269161 - 7.0838
269330 + 6.1509
269347 - 5.5719
269753 - 5.1628
270618 - 6.1509
270870 - 9.1778
270927 - 6.1509
271154 + 6.8212
271197 + 5.8883
272274 + 8.7687
273218 + 5.1363
274177 + 5.1363
275374 - 8.4258
275397 - 9.0314
275418 - 8.7687
275507 + 9.9642
276032 - 6.1509
276148 - 5.1363
276838 + 5.2536
277878 + 6.6747
278384 - 6.1509
278498 + 6.2974
278596 - 6.5048
279963 + 9.0314
279986 + 6.0957
280095 - 5.1363
280132 - 6.1865
280264 + 5.1363
280419 + 7.2303
280951 - 5.2536
280956 - 11.3062
281054 - 5.2536
281783 - 5.2827
282502 - 5.3093
282806 + 9.5551
283185 + 7.4929
283197 - 10.1107
283251 - 6.0692
283736 - 6.1509
284212 + 6.4783
285799 + 6.4783
286462 + 5.1363
287324 - 9.0314
289266 + 5.1628
289360 + 5.4792
289554 - 5.3529
289816 - 6.1865
290001 + 5.2536
290239 + 8.6223
290330 - 9.0314
290405 - 9.0314
290476 - 9.0314
290547 - 9.0314
290789 + 6.8212
291214 + 5.1363
291243 - 5.1628
291618 - 7.7249
291656 - 11.6491
291715 - 10.8971
291766 - 5.3093
291771 + 6.0692
291774 - 10.8971
291825 - 5.3093
291830 + 6.0692
291833 - 10.8971
291884 - 5.3093
291889 + 6.0692
291892 - 10.8971
291943 - 5.3093
291948 + 6.0692
291951 - 10.8971
292002 - 5.3093
292007 + 6.0692
292010 - 10.8971
292062 - 8.0167
292078 + 8.2333
292088 + 9.9642
292449 - 5.2536
292496 - 5.5719
292596 + 5.5719
293050 + 11.9118
293364 - 6.6949
293474 - 6.5048
293886 + 5.1628
293946 - 5.3529
294175 + 6.5048
295123 - 9.0314
296245 + 8.4258
296676 - 5.5719
297093 + 5.5454
297370 - 6.1865
297467 - 6.8212
297788 + 9.0314
298002 - 8.4524
298026 + 6.2974
298430 - 6.6747
298495 - 8.0167
298547 + 7.4267
298551 + 6.2156
298745 + 5.9810
300154 + 5.1363
300232 - 5.1363
300319 + 5.5454
300936 - 5.5719
300955 + 8.7687
301346 + 5.1363
301690 - 8.0432
301695 + 6.5048
301938 - 6.2858
302193 + 9.5551
302459 + 5.5454
302723 + 5.1628
302733 + 11.9118
303431 + 6.1865
303499 + 5.5719
303525 - 5.3093
304181 - 5.3093
304258 - 6.2974
304433 + 7.8358
304674 + 10.4880
305267 + 8.7687
305425 + 5.3093
305451 - 5.5719
305518 - 10.1107
306039 + 9.0314
306339 + 6.0957
306692 - 5.1628
306846 - 5.5454
307420 + 8.1632
307516 - 9.5551
307726 + 7.7249
307773 - 5.1628
307788 + 6.2974
307802 + 6.4783
307898 + 6.1865
308359 - 5.5454
308602 - 8.4258
308614 - 5.2536
308675 + 6.1509
310029 + 7.4929
310298 - 5.3529
311096 + 5.5454
311282 + 5.5454
311664 + 5.7773
311872 + 6.6747
312148 - 5.2827
312388 - 6.8212
312504 - 8.1632
312578 - 6.8212
312758 + 5.5719
312784 - 5.3093
313607 - 8.0167
313857 - 5.5719
313930 + 8.0167
314100 + 7.0838
314267 + 5.8883
314305 - 5.5454
314435 - 5.1628
314574 + 5.1363
314856 - 7.0838
314976 + 5.5454
315527 - 6.8212
315581 - 6.5048
316048 + 6.8212
316072 + 7.2303
317021 + 9.0314
317421 + 6.1865
317470 + 5.1363
317474 + 6.4783
317796 - 5.5719
318404 - 6.1865
319627 - 8.6223
321256 + 5.7773
321473 - 6.0957
321553 + 5.2827
321752 - 5.1363
323104 - 5.5719
323546 - 6.6747
323641 + 5.5454
323797 + 7.4929
324469 + 5.1363
325166 + 5.7773
325825 + 6.0957
326700 - 11.9118
327260 + 9.9642
327503 + 9.9642
327693 - 5.1363
327951 + 6.8212
328131 + 6.8212
328211 + 5.5454
328625 - 7.0838
328704 - 6.4783
329562 + 5.3093
329588 - 5.5719
329835 - 6.2974
330439 + 5.3093
331248 - 5.5719
331397 - 6.6747
331566 + 6.6747
331674 + 5.5719
331823 + 6.2974
332159 + 8.0432
332239 - 5.2536
332313 - 7.2303
332346 + 5.1363
332452 - 5.3093
332628 - 6.2974
332914 + 8.7687
333054 - 5.9810
333379 + 7.0838
333908 + 5.5719
334294 - 5.1363
334330 + 6.0957
334463 - 6.8477
334572 - 6.6747
334792 - 5.2536
335003 - 7.7249
335263 - 5.2827
335338 + 6.2858
335421 - 7.7249
335529 + 7.2568
335828 + 5.3093
336232 + 5.5719
336637 - 10.3071
336841 - 8.3596
336978 - 5.1628
337041 - 10.3071
337074 - 10.3071
337137 - 6.1509
337204 - 8.3596
337321 - 5.3093
337471 - 8.7687
337757 - 9.1778
337827 - 11.9118
337875 - 9.0314
337924 - 11.9118
337972 - 9.0314
338021 - 11.9118
338069 - 11.9118
338118 - 11.9118
338167 - 9.0314
338216 - 11.9118
338265 - 11.9118
338314 - 11.9118
338362 - 9.0314
338411 - 11.9118
338460 - 11.9118
338509 - 11.9118
338558 - 11.9118
338607 - 11.9118
338655 - 9.0314
338704 - 11.9118
338753 - 9.0314
338802 - 11.9118
338850 - 9.0314
339209 - 9.9642
339248 + 5.7773
339307 - 8.3596
339382 - 8.0432
339564 - 10.3071
340025 - 14.3831
340303 + 6.6747
340359 - 6.6747
340521 - 6.0957
340550 + 12.4356
340553 - 6.8212
340616 - 8.6223
340972 - 9.5551
341065 + 9.9642
341068 - 6.8212
341259 - 9.5551
341298 + 6.2974
341508 + 5.2536
341680 - 5.9810
341788 + 5.2536
341875 + 5.5719
341922 + 5.2536
341978 - 8.4258
342066 + 5.2536
342179 - 5.3093
342188 - 11.6491
342713 - 7.0838
342966 - 5.5454
343661 + 8.7687
343897 - 8.7687
343905 - 6.1865
343958 + 6.1509
343999 + 8.4524
344310 + 5.3529
344574 + 6.6747
345371 - 7.7249
345461 - 5.9810
345566 - 6.8212
345699 + 5.2536
345994 - 9.9642
346283 + 5.5719
346991 - 6.4783
347583 - 6.1865
347732 - 11.9118
347916 + 11.9118
347991 - 12.8447
348020 - 8.0432
348370 + 5.2827
349774 + 7.0838
350199 + 6.2974
350473 + 5.5719
350492 + 5.4792
350735 + 5.8883
350955 + 5.3529
351073 + 5.5719
351099 - 5.3093
351748 - 8.6223
351973 - 5.2536
352222 - 5.1628
352379 - 5.1363
352383 - 6.1509
352697 - 9.0314
353305 - 9.0314
353745 - 7.4929
353802 - 9.0314
353849 - 6.2974
353963 + 5.2536
354367 - 8.0167
354592 - 5.5454
354772 - 5.2536
354803 - 5.1363
354959 - 7.4929
355125 - 8.7687
355422 - 5.1363
355506 - 6.5048
355564 + 7.2303
355883 + 6.0957
356567 - 10.3071
356726 - 5.5719
356734 - 9.7016
356795 + 6.1509
356835 + 8.4524
357132 + 5.3529
357394 + 6.6747
357598 + 5.5454
357794 - 5.5454
357932 - 6.0957
357938 + 8.7687
358100 - 7.6076
359323 - 5.2827
359798 + 6.1509
359984 + 7.2303
359987 - 7.0838
360198 - 5.1363
360322 + 8.0432
361031 + 7.0838
361045 + 6.1865
361057 - 5.3093
361962 - 5.1628
362219 - 6.5048
362368 - 8.7687
362541 + 5.5454
362544 - 9.3587
362557 + 6.8212
362637 + 8.7687
363051 + 7.0838
363054 - 6.8212
363074 - 6.4783
363220 - 5.5454
363536 - 6.8212
363613 + 6.6949
364153 - 5.2536
364330 + 6.4783
364493 - 5.9810
364650 + 5.1628
364911 + 6.1865
365127 - 5.5719
365229 + 5.1363
365525 + 5.5719
365548 + 6.0957
365683 - 8.0432
365868 - 7.4929
366091 - 5.3093
366582 - 7.4112
366695 + 5.2536
366707 - 5.3093
366825 + 5.9810
367189 - 7.6076
367473 - 8.6223
367731 + 5.5719
367757 - 5.3093
368496 + 5.1363
368810 - 9.1778
368974 - 5.3093
369170 + 11.9118
369741 - 6.4783
369748 + 6.1865
369831 - 5.5454
370166 + 5.7773
370871 - 5.3529
371031 - 6.8477
371052 + 5.5719
371078 - 5.3093
371540 - 5.8883
371700 - 5.3093
372034 + 11.6491
372104 + 7.7249
372194 + 6.5293
372242 + 8.4524
372776 - 5.5719
372791 - 5.4792
372937 + 7.4929
373272 + 8.0167
373306 + 6.8212
373399 - 7.7249
373601 + 6.5048
373891 - 6.1865
373948 - 9.5551
374138 + 5.2536
374312 + 5.5719
374543 + 7.7249
374608 - 7.2303
374654 - 5.5454
374764 + 7.0838
375965 + 5.3093
376056 + 5.5719
376192 + 5.5719
376667 + 7.7249
376840 + 5.5719
376866 - 5.3093
377426 - 5.5719
377444 - 9.0314
377589 + 6.1509
378110 - 5.3093
378132 + 7.4929
378172 + 7.7249
378315 - 5.1628
378455 - 6.9139
379001 + 7.4929
379406 - 6.2974
381111 + 7.8358
381331 + 5.5719
381900 + 8.6223
382154 + 5.2536
382322 + 6.0957
382503 + 5.2536
383017 - 6.6747
383406 - 6.4783
383413 - 5.5454
383462 + 5.2536
384109 + 11.9118
384266 + 9.9642
384695 - 6.1865
384702 + 10.1107
384883 + 8.4524
385569 + 7.0838
385674 + 7.4929
386204 + 6.1509
386476 - 6.2974
386573 - 5.3093
386810 - 6.2858
386875 + 6.2974
386909 - 6.5048
388088 - 8.3596
388358 - 6.2974
388743 - 6.5293
388775 - 5.5719
388852 - 5.5719
389087 - 5.3093
389110 - 6.5293
389411 + 9.0314
389738 - 7.2568
389760 + 14.3831
391045 - 5.5719
391532 + 7.0838
392235 - 8.0167
392253 - 6.5048
392302 + 5.5719
392322 + 5.5719
392566 + 7.6076
392846 + 5.7620
392931 - 9.0314
392962 - 7.0838
393568 - 5.2536
393750 - 9.0314
393826 + 6.8212
393883 + 9.1778
394059 + 9.5551
394101 + 6.0957
394177 + 5.5719
394318 + 7.0838
394388 + 9.0314
394534 + 5.4792
394738 + 5.5719
394762 + 8.0432
395056 + 5.5719
395340 + 5.5719
395366 - 8.7687
395590 - 11.5027
395775 + 5.8883
396155 - 11.5027
396354 + 5.2536
396722 - 6.5293
396804 + 7.7249
396998 + 9.7016
397073 + 5.8883
397076 - 11.2400
397431 + 7.7249
397846 - 5.2536
398385 + 5.2536
398529 - 5.3093
398605 + 6.8212
398658 - 5.3529
398856 + 9.7016
399303 + 7.7249
400504 - 5.1628
400630 + 5.1628
400645 + 11.5027
400669 + 5.1628
400968 + 5.3093
401104 + 5.1628
401537 + 8.2333
401721 + 6.1865
401784 + 9.0314
401989 + 8.6223
402001 - 8.7687
402069 - 5.7773
402299 + 5.5719
402508 + 12.8447
402634 + 5.3093
403583 - 8.0432
404121 - 6.5048
404406 - 9.9642
405076 - 6.1509
405312 - 5.9810
405377 - 5.9810
405527 - 7.7249
405774 + 9.0314
406218 - 9.3587
406397 - 8.4258
406964 - 5.5719
406972 + 6.5048
407308 + 10.7162
407349 + 11.9118
407412 - 9.9642
407453 + 5.7773
407550 + 7.0838
407607 + 8.7687
407698 - 10.3734
407958 + 5.3529
408011 + 8.0432
408220 - 5.3093
408249 + 6.5293
408268 + 8.7687
408278 + 5.5719
408363 + 9.0314
408452 - 14.3831
408547 + 5.7773
408577 - 5.7620
408586 + 5.2536
408657 - 11.5027
408731 + 5.5719
409085 - 7.0838
409390 + 6.5293
409393 - 6.5293
409555 + 12.4356
409598 + 12.4356
409617 + 5.3529
410185 + 7.0838
410665 - 5.2536
411359 + 11.2400
411663 - 5.7773
411858 + 8.0432
412898 - 8.2333
413079 - 6.5048
413333 + 7.0838
413487 + 6.0957
413538 + 7.7249
414075 + 5.3529
414117 + 6.0957
414174 - 6.5048
414263 + 5.8883
414423 + 8.0432
414433 - 6.0957
414704 + 5.2536
414749 + 5.5719
414883 + 5.5719
415109 + 8.0167
415250 + 7.2568
415283 - 5.5719
416609 + 5.3529
417098 - 10.3071
417346 + 8.7687
417353 + 6.1509
417490 - 6.1865
417604 + 5.3093
417668 + 7.7249
418067 + 5.5719
418111 + 5.3093
418568 - 6.0957
418931 - 5.2536
419112 - 11.9118
419336 - 6.1865
419496 + 6.4783
419583 - 9.9642
419835 + 6.1509
420046 + 6.1509
420072 - 5.7620
420254 - 7.2303
420287 - 7.0838
421096 - 7.4112
421216 - 5.3093
421704 - 7.2568
421775 - 5.3093
421781 + 7.2568
422279 - 7.0838
422686 - 9.0314
422733 + 5.8883
422878 - 5.5454
423112 - 9.9642
423281 - 6.2858
423652 - 8.2333
423861 + 5.5719
423887 - 6.5048
424312 - 8.7687
424545 - 8.9496
424952 + 8.3596
425437 + 5.7773
425581 - 6.1865
426144 - 8.7687
426341 - 5.3093
426458 + 5.8883
426638 + 6.1865
426788 + 8.0167
426808 - 7.0838
427454 + 6.4783
427677 + 5.5719
427853 + 5.1363
427971 + 7.4929
428422 - 5.5454
428869 - 5.5719
429203 + 7.7249
429210 - 6.1865
429951 - 5.5719
430089 - 7.4929
430436 + 5.5719
430462 - 5.3093
430836 - 5.3093
431158 - 6.8212
431374 + 8.0167
431398 + 5.3529
431497 + 5.5719
431745 + 5.5454
431793 - 6.8477
431932 + 5.1628
432138 + 7.2568
432256 - 8.0167
432610 - 7.2303
432734 - 5.3093
433465 - 8.7687
433752 + 5.7773
433957 + 6.5048
434120 + 5.5719
434252 - 6.8212
434595 - 5.5719
434744 + 7.7249
434869 + 5.1628
434874 + 6.5293
435134 - 5.2536
435139 - 8.4524
435242 + 5.5719
435247 + 6.5293
435268 - 5.7773
435339 + 5.5719
435431 + 5.3529
435466 - 6.6747
435836 + 6.5048
436066 + 5.1628
436341 - 8.4258
436444 - 6.5048
436785 - 5.5719
436795 - 8.4524
436824 - 7.4929
436892 + 6.1865
436930 - 8.7687
437049 + 5.3093
437132 + 5.2536
437181 - 5.2536
437597 - 5.2536
437945 - 9.3587
437949 - 6.2974
438009 + 5.1628
438212 + 7.7249
438223 - 6.6949
438275 - 9.0314
438355 + 6.1509
438711 + 7.0838
439655 + 6.5048
440057 + 5.5454
441631 - 7.7249
442132 + 5.5454
442396 + 8.7687
442503 - 5.3093
442894 + 8.0167
443055 - 5.1363
444685 - 6.2974
444954 + 11.5027
445035 + 5.5454
445091 - 6.2974
445264 - 11.9118
445501 - 7.4267
445509 + 9.0314
445614 - 5.2536
445697 - 7.7249
445962 - 5.2536
446268 - 5.2536
446273 - 6.5048
448376 - 5.5719
448782 - 5.1363
448824 - 9.9642
448913 - 7.8358
449167 + 7.4929
449175 - 5.3529
449231 - 10.3734
449384 - 7.0838
449560 + 5.5719
449644 - 5.5719
449747 + 6.0957
450838 - 7.0838
450847 + 7.4929
450858 + 6.4783
451414 - 5.5719
452019 + 7.0838
452734 + 11.5027
452979 - 5.3093
453108 - 5.5719
453434 - 5.7773
453445 + 11.5027
453520 - 5.2536
453533 - 7.0838
453649 + 9.0314
454012 + 5.1363
455761 + 7.7249
456349 - 5.2536
456648 + 7.7249
457701 + 7.0838
457916 + 5.1628
458107 + 10.3071
458242 + 7.8358
458427 + 14.3831
458473 - 7.4929
458701 - 5.7773
459513 + 10.7162
459525 + 6.8477
459892 + 5.8883
460048 + 7.0838
460315 + 6.6949
460447 - 5.5719
460576 - 8.3596
460848 - 6.5293
461197 - 7.4929
461971 + 7.7249
462301 - 11.5027
462330 - 7.7249
462689 - 5.1363
462724 - 10.7162
463132 + 7.7249
464103 + 11.9118
464218 + 11.5027
464596 + 7.7249
464652 - 8.7687
464967 - 9.9642
465156 + 8.0167
465193 + 11.5027
465208 + 6.5293
465306 + 7.0838
465566 + 6.5293
465742 + 11.5027
466163 + 5.5719
466189 - 5.3093
466765 - 5.5719
467526 - 5.5719
468148 + 9.9642
468240 + 5.5719
468954 + 5.2536
469542 - 7.7249
471019 - 5.1363
471382 - 9.0314
471498 + 7.0838
471511 + 5.2536
471586 - 11.5027
471597 + 5.7773
471923 + 5.5719
472408 - 5.5719
472548 + 5.1628
472793 - 6.6747
472934 + 6.0957
472946 + 5.7620
473063 + 6.5293
473322 - 9.0314
473777 + 5.2536
473965 + 9.9642
474833 + 5.3093
474859 - 5.5719
475522 + 5.3093
475548 - 11.9118
475598 + 8.4524
475693 - 5.5719
475814 + 6.5048
476876 - 5.5719
477400 + 5.2536
477743 + 5.8883
477871 - 5.7773
478019 - 5.1628
478294 + 8.0432
478376 - 5.2536
478868 - 7.2568
478883 + 5.5719
478910 - 6.8477
478924 - 11.9118
479506 + 5.3093
480294 - 6.1865
480563 - 5.5719
480796 - 7.4929
480863 - 5.5719
480971 + 5.3093
481476 - 5.5719
481579 + 5.3093
481605 - 9.0314
481678 + 6.4121
481776 - 6.1509
481827 + 8.7687
481928 - 5.7620
481989 + 5.3093
482029 - 5.7620
482146 - 6.0957
483221 - 5.7773
483592 + 5.3093
483618 - 5.5719
484675 - 6.5048
485386 + 5.1565
485825 + 5.7773
485955 + 13.1875
485996 - 5.2536
486077 - 7.7249
486257 + 7.2568
486961 - 6.2974
487605 + 5.2827
487628 - 7.7249
488136 - 6.4783
488423 + 8.4524
488807 - 11.9118
488959 + 6.8477
489072 - 5.5719
489125 + 7.6076
489331 - 5.7773
489714 + 6.5293
490111 - 9.1778
490434 - 5.5719
490457 - 7.7249
490953 + 6.2858
492176 - 7.7249
492460 + 7.2303
492486 + 6.1865
492803 + 9.0314
493803 + 5.3093
493871 + 5.5719
493988 + 5.2536
494030 + 5.2536
494105 + 5.2536
494184 + 5.2536
494222 + 5.2536
494298 + 5.2536
494340 + 5.2536
494382 + 5.2536
494420 + 5.2536
494460 + 5.2536
494502 + 5.2536
494546 + 5.2536
494582 + 5.2536
494620 + 5.2536
494660 + 5.2536
494698 + 5.2536
494736 + 5.2536
494778 + 5.2536
494818 + 5.2536
494856 + 5.2536
494892 + 5.2536
494928 + 5.2536
494964 + 5.2536
495006 + 5.2536
495082 + 5.2536
495126 + 5.2536
495172 + 5.2536
495208 + 5.2536
495248 + 5.2536
495286 + 5.2536
495326 + 5.2536
495370 + 5.2536
495559 + 5.2536
495642 + 5.2536
495882 - 6.6747
496369 + 6.1509
496395 + 7.0838
496493 + 5.2536
497082 - 6.1865
497346 - 5.3093
497632 - 5.9810
497906 - 5.7773
497947 - 5.2536
498673 - 9.1778
499983 - 5.3529
500009 + 6.0957
500107 - 7.7249
500125 - 8.0432
500232 - 11.9118
500241 - 12.4356
500343 + 5.5719
500532 - 6.8477
500833 - 8.0432
501164 + 6.2858
501258 + 7.7249
501285 - 5.1628
501344 + 8.7687
501348 + 6.9139
501585 - 6.8212
502099 - 6.0957
502166 - 9.1778
502499 - 5.7773
503427 + 6.2974
503482 - 6.5048
503841 - 5.1628
503908 - 6.4783
503990 - 5.1363
504326 + 6.1865
504427 - 5.1628
504798 + 5.5719
505537 - 9.5551
505580 - 5.8883
505622 - 8.3596
505630 - 7.0838
505958 - 7.7249
506090 + 5.9810
506729 - 5.5719
506857 + 5.8883
507034 - 8.0432
507089 + 5.7620
507982 - 5.4792
508039 + 7.7249
508598 + 6.5048
508780 + 5.9810
508971 + 5.1363
509070 + 6.4121
509092 + 6.4783
509194 - 9.0314
509631 + 5.2536
509906 - 8.7687
510236 - 6.1865
510401 - 8.4524
510500 + 5.3529
510636 - 5.1628
510656 - 6.1865
510718 - 9.1778
510942 - 7.0838
511177 + 5.2536
511377 + 11.5027
511538 - 7.4929
511744 - 5.5719
511752 + 8.6223
511862 + 7.7249
512263 - 12.8447
512383 + 5.1628
512523 + 10.3071
512562 + 7.8358
512670 - 5.7773
513400 + 7.2568
513435 + 7.2568
513518 + 11.6491
513606 - 8.0432
513918 - 5.7620
513934 - 6.5293
513964 + 7.0838
514247 - 8.7687
514378 + 6.8477
514583 + 6.5293
514607 - 9.0314
514931 + 7.2568
515574 - 9.9642
515818 - 5.5719
515843 + 5.3093
515865 + 8.0432
516080 + 9.0314
516119 - 5.7620
517398 + 5.1565
517475 - 9.1778
517833 + 8.4524
518071 - 8.0432
518279 + 7.6076
518812 + 7.2568
519895 - 6.5293
520016 - 9.9642
520493 + 6.8212
521305 - 9.9642
521443 + 5.2536
521879 + 5.5719
521905 - 5.3093
522215 + 5.5719
522241 - 5.3093
522534 - 10.8971
522619 - 7.0838
522838 + 5.2536
522864 + 11.5027
523515 + 8.7687
523705 + 7.8358
523762 + 6.2858
524120 + 8.4524
524184 + 7.2568
524634 + 5.3093
524731 + 6.2974
524793 + 6.5293
524898 - 9.0314
525242 - 11.2400
525539 - 5.5719
526067 - 5.2536
526145 + 5.7620
526572 - 5.5719
526688 - 5.5719
526849 - 8.0432
526901 - 5.2536
527395 - 11.5027
527472 + 11.9118
527597 + 5.3093
528142 + 6.1865
528198 - 7.7249
528433 + 5.7620
528607 + 5.7773
528927 + 8.0167
528976 + 6.1865
529173 - 5.2536
529933 + 7.7249
530259 + 6.2858
530869 - 14.3831
531206 - 7.7249
531573 + 5.7773
532027 - 5.7773
532130 + 8.4524
532273 - 8.6223
532746 - 5.7773
533533 - 6.0957
533765 - 6.6949
533933 - 5.3093
533970 + 6.5293
534581 - 11.9118
534994 - 7.2568
535133 + 6.2974
535182 - 7.7249
535264 + 5.5719
535315 - 6.1865
535359 - 8.0432
535554 + 6.0692
535594 + 5.3093
535920 - 14.3831
535953 + 5.1363
536604 - 6.5293
536680 - 7.7249
536974 - 7.0838
537027 - 5.7773
537440 + 5.1628
537699 + 7.2568
537714 - 14.3831
537903 - 5.1628
537945 + 5.1628
538109 + 6.5048
538129 - 7.7249
538134 - 5.2536
538139 - 6.5048
538155 + 5.5719
538216 - 7.7249
538583 + 5.5719
538862 - 8.4524
539512 - 5.7773
543775 - 5.1628
543866 - 5.5719
544958 + 7.7249
545230 - 5.3093
545324 - 6.8477
545391 - 7.8358
545662 + 7.7249
545898 + 5.2536
546448 + 11.5027
546553 + 5.1628
546569 + 9.0314
546671 - 5.1628
546995 - 7.2568
